sample_840,0.902
sample_93,0.947
sample_864,0.89
sample_1488,0.902
sample_744,0.93
sample_40,0.967
sample_1149,0.902
sample_1321,0.973
sample_990,0.902
sample_1235,0.936
sample_655,0.983
sample_1906,0.947
sample_1092,0.947
sample_1918,0.891
sample_1323,0.943
sample_611,0.947
sample_1331,0.93
sample_1769,0.925
sample_1739,0.971
sample_566,0.902
sample_1650,0.891
sample_1530,0.89
sample_234,0.925
sample_1854,0.913
sample_1295,0.973
sample_749,0.888
sample_183,0.983
sample_1592,0.935
sample_142,0.936
sample_1127,0.913
sample_1855,0.947
sample_327,0.902
sample_7,0.9
sample_1019,0.902
sample_1494,0.891
sample_1276,0.971
sample_290,0.902
sample_1796,0.936
sample_1833,0.925
sample_712,0.936
sample_1892,0.891
sample_62,0.902
sample_1075,0.923
sample_1804,0.925
sample_1628,0.935
sample_1404,0.879
sample_980,0.879
sample_1257,0.925
sample_1197,0.947
sample_747,0.967
sample_197,0.913
sample_690,0.925
sample_1839,0.936
sample_961,0.891
sample_134,0.971
sample_709,0.936
sample_1311,0.93
sample_1919,0.947
sample_1813,0.913
sample_1399,0.924
sample_1888,0.947
sample_894,0.902
sample_1051,0.902
sample_1286,0.93
sample_1327,0.985
sample_1651,0.891
sample_1337,0.93
sample_1626,0.902
sample_143,0.983
sample_1391,0.93
sample_81,0.947
sample_279,0.93
sample_1455,0.902
sample_380,0.967
sample_1405,0.891
sample_1848,0.936
sample_967,0.891
sample_1618,0.902
sample_1176,0.925
sample_579,0.935
sample_261,0.93
sample_1452,0.822
sample_19,0.947
sample_78,0.923
sample_1450,0.902
sample_1198,0.925
sample_56,0.902
sample_428,0.891
sample_1709,0.902
sample_109,0.879
sample_1267,0.971
sample_530,0.891
sample_564,0.942
sample_1249,0.983
sample_207,0.925
sample_1179,0.925
sample_1221,0.925
sample_260,0.973
sample_741,0.93
sample_1984,0.918
sample_460,0.891
sample_67,0.902
sample_255,0.93
sample_406,0.929
sample_610,0.935
sample_1782,0.959
sample_1968,0.93
sample_971,0.935
sample_1838,0.925
sample_426,0.913
sample_1422,0.879
sample_479,0.891
sample_191,0.913
sample_480,0.902
sample_1236,0.947
sample_1352,0.93
sample_1201,0.925
sample_1643,0.947
sample_941,0.902
sample_1459,0.902
sample_796,0.93
sample_1729,0.947
sample_533,0.891
sample_794,0.93
sample_1022,0.89
sample_46,0.98
sample_1166,0.891
sample_211,0.925
sample_1986,0.918
sample_447,0.902
sample_826,0.93
sample_1028,0.891
sample_119,0.891
sample_901,0.891
sample_216,0.959
sample_531,0.888
sample_675,0.947
sample_1300,0.973
sample_620,0.983
sample_1094,0.961
sample_1239,0.913
sample_841,0.891
sample_28,0.923
sample_1953,0.918
sample_517,0.923
sample_1218,0.925
sample_1128,0.902
sample_1109,0.913
sample_580,0.902
