sample_745,0.973
sample_888,0.902
sample_1737,0.947
sample_1155,0.902
sample_443,0.722
sample_1588,0.902
sample_1464,0.87
sample_193,0.913
sample_583,0.902
sample_1927,0.943
sample_1322,0.93
sample_1834,0.936
sample_668,0.936
sample_770,0.973
sample_1914,0.902
sample_1763,0.936
sample_879,0.902
sample_1356,0.93
sample_565,0.902
sample_1841,0.947
sample_1794,0.971
sample_162,0.983
sample_843,0.891
sample_1602,0.879
sample_1035,0.891
sample_1517,0.8907
sample_454,0.902
sample_403,0.935
sample_1596,0.947
sample_727,0.978
sample_1260,0.925
sample_379,0.967
sample_178,0.947
sample_59,0.902
sample_435,0.891
sample_488,0.902
sample_444,0.902
sample_476,0.902
sample_377,0.935
sample_382,0.967
sample_1274,0.936
sample_201,0.971
sample_31,0.923
sample_1510,0.902
sample_1720,0.923
sample_983,0.891
sample_1981,0.888
sample_453,0.902
sample_633,0.936
sample_519,0.918
sample_1696,0.947
sample_793,0.876
sample_215,0.925
sample_832,0.918
sample_1534,0.879
sample_958,0.902
sample_1751,0.983
sample_1538,0.879
sample_1485,0.89
sample_1474,0.891
sample_1616,0.947
sample_666,0.936
sample_1746,0.925
sample_1411,0.923
sample_20,0.879
sample_1499,0.902
sample_597,0.879
sample_790,0.9
sample_1045,0.947
sample_188,0.913
sample_413,0.902
sample_1831,0.925
sample_1365,0.93
sample_265,0.93
sample_547,0.923
sample_224,0.947
sample_559,0.902
sample_1333,0.93
sample_468,0.902
sample_32,0.935
sample_1015,0.902
sample_1039,0.947
sample_1111,0.947
sample_1949,0.936
sample_884,0.902
sample_1809,0.971
sample_1711,0.935
sample_507,0.935
sample_540,0.923
sample_172,0.925
sample_1791,0.971
sample_280,0.93
sample_1328,0.93
sample_1789,0.936
sample_136,0.925
sample_354,0.871
sample_312,0.902
sample_588,0.947
sample_1014,0.891
sample_415,0.891
sample_3,0.879
sample_10,0.935
sample_1993,0.93
sample_925,0.967
sample_1987,0.93
sample_38,0.98
sample_718,0.925
sample_1975,0.9
sample_55,0.902
sample_334,0.891
sample_1340,0.93
sample_1959,0.93
sample_806,0.93
sample_230,0.971
sample_1438,0.935
sample_1788,0.983
sample_1852,0.983
sample_1359,0.943
sample_539,0.935
sample_221,0.913
sample_724,0.973
sample_659,0.936
sample_18,0.891
sample_963,0.902
sample_1291,0.93
sample_192,0.971
sample_1071,0.923
sample_1781,0.925
sample_1713,0.902
sample_252,0.943
sample_622,0.925
sample_897,0.902
sample_482,0.891
sample_1501,0.8907
sample_155,0.983
sample_1780,0.925
sample_1116,0.902
sample_1657,0.902
sample_656,0.925
sample_1680,0.902
sample_797,0.93
sample_1070,0.923
sample_630,0.936
sample_734,0.955
sample_1033,0.902
sample_518,0.947
sample_1122,0.913
sample_848,0.879
sample_1879,0.947
